#REFERENCE 3 217.4783710 12.0432340
   #ID       X         Y         R       EPS       TAU       AMP       E_AMP      DMAG  TIME[days]  DTIME    PARITY
   1.1     3.560     0.979     3.692     0.991     7.360     9.848     5.399      2.48   -3995.3       0.0    ++
   1.1    -2.147     2.483     3.283     0.983     5.426    14.902     7.237      2.93   -3961.5      33.8    ++
   1.1    -0.080    -0.202     0.217     0.983     5.379     0.702     6.285     -0.38   -3777.9     217.3    --
   1.1    -0.465    -1.455     1.528     0.966     3.725     3.860     2.628      1.47   -3797.6     197.7    +-
   1.1     0.000     2.905     2.905     0.000     0.000    17.419     9.323      3.10   -3954.5      40.7    +-
   1.2     3.566     0.972     3.696     0.990     7.018     9.801     5.372      2.48   -3995.7      -0.4    ++
   1.2    -0.021     2.905     2.905     0.983     5.412    17.593     9.416      3.11   -3954.3      41.0    +-
   1.2    -0.081    -0.202     0.217     0.940     2.754     0.669     4.789     -0.44   -3777.9     217.4    --
   1.2    -0.469    -1.454     1.528     0.934     2.623     3.866     2.633      1.47   -3797.6     197.7    +-
   1.2    -2.135     2.486     3.277     0.000     0.000    15.098     7.334      2.95   -3961.0      34.3    ++
   1.3    -0.108     2.906     2.908     0.992     7.864    18.487     9.890      3.17   -3953.6      41.6    +-
   1.3    -2.080     2.505     3.255     0.991     7.391    16.049     7.807      3.01   -3959.1      36.2    ++
   1.3    -0.084    -0.201     0.218     0.821     1.439     0.831    11.312     -0.20   -3777.6     217.6    --
   1.3    -0.483    -1.450     1.528     0.737     1.089     3.876     2.645      1.47   -3797.2     198.1    +-
   1.3     3.587     0.957     3.712     0.000     0.000     9.644     5.282      2.46   -3997.6      -2.3    ++
   1.4    -0.351     2.943     2.964     0.985     5.668    24.584    13.059      3.48   -3957.7      37.5    +-
   1.4    -1.811     2.651     3.211     0.973     4.233    21.758    10.717      3.34   -3959.9      35.4    ++
   1.4     3.600     1.039     3.747     0.752     1.140     9.613     5.276      2.46   -4003.2      -8.0    ++
   1.4    -0.095    -0.220     0.240     0.373     0.402     1.214    14.472      0.21   -3775.2     220.0    --
   1.4    -0.484    -1.387     1.470     0.000     0.000     3.692     2.535      1.42   -3791.7     203.6    +-
  20.3    -1.840     2.691     3.260     0.995    10.325    19.916     9.844      3.25   -3966.9       0.0    ++
  20.3    -0.181     2.986     2.992     0.995    10.299    22.858    12.091      3.40   -3963.9       3.0    +-
  20.3    -0.092    -0.237     0.255     0.874     1.801     1.725    16.689      0.59   -3774.2     192.7    --
  20.3    -0.441    -1.352     1.422     0.795     1.310     3.519     2.416      1.37   -3788.4     178.4    +-
  20.3     3.532     1.165     3.719     0.000     0.000    10.184     5.620      2.52   -4001.6     -34.7    ++
  20.4     3.575     1.250     3.788     0.825     1.458     9.911     5.480      2.49   -4011.8     -44.9    ++
  20.4    -0.113    -0.267     0.290     0.310     0.326     2.649    36.641      1.06   -3770.3     196.6    --
  20.4    -0.451    -1.258     1.337     0.000     0.000     3.299     2.301      1.30   -3780.7     186.2    +-
  30.1     3.717     0.307     3.730     0.977     4.592     8.393     4.530      2.31   -3993.6       0.0    ++
  30.1    -2.552     1.930     3.200     0.969     3.936    11.810     5.494      2.68   -3935.0      58.6    ++
  30.1    -0.072    -0.111     0.132     0.943     2.844     0.200     0.966     -1.75   -3785.3     208.3    --
  30.1    -0.663    -1.704     1.829     0.862     1.700     5.347     3.755      1.82   -3824.4     169.1    +-
  30.1    -0.113     2.655     2.658     0.000     0.000    12.490     6.956      2.74   -3921.3      72.3    +-
  30.2    -0.318     2.633     2.652     0.969     3.928    13.735     7.722      2.84   -3917.2      76.3    +-
  30.2     3.778     0.247     3.786     0.959     3.376     8.073     4.351      2.27   -4000.7      -7.1    ++
  30.2    -0.739    -1.686     1.841     0.923     2.391     5.551     3.975      1.86   -3823.9     169.6    +-
  30.2    -0.082    -0.106     0.134     0.842     1.560     0.204     0.666     -1.73   -3784.4     209.1    --
  30.2    -2.448     1.948     3.128     0.000     0.000    13.092     6.080      2.79   -3926.6      66.9    ++
  30.3    -0.109     2.635     2.637     0.975     4.407    12.128     6.777      2.71   -3918.8      74.8    +-
  30.3    -2.587     1.880     3.197     0.945     2.902    11.581     5.368      2.66   -3933.4      60.1    ++
  30.3    -0.679    -1.723     1.852     0.743     1.109     5.498     3.882      1.85   -3826.7     166.8    +-
  30.3    -0.071    -0.104     0.126     0.612     0.774     0.205     1.838     -1.72   -3785.8     207.8    --
  30.3     3.722     0.257     3.731     0.000     0.000     8.333     4.494      2.30   -3993.4       0.2    ++
  30.4    -2.487     1.946     3.158     0.914     2.255    12.559     5.839      2.75   -3930.2      63.4    ++
  30.4    -0.235     2.646     2.656     0.879     1.848    13.204     7.386      2.80   -3919.2      74.3    +-
  30.4     3.753     0.276     3.764     0.724     1.049     8.204     4.425      2.29   -3997.8      -4.2    ++
  30.4    -0.078    -0.109     0.134     0.571     0.696     0.231     1.383     -1.59   -3784.7     208.8    --
  30.4    -0.706    -1.692     1.833     0.000     0.000     5.447     3.866      1.84   -3823.9     169.6    +-
   2.1     3.469     1.272     3.694     0.995     9.850    10.761     5.971      2.58   -4000.4       0.0    ++
   2.1    -0.090    -0.252     0.268     0.992     8.008     1.236     6.644      0.23   -3773.3     227.1    --
   2.1    -1.869     2.721     3.301     0.988     6.311    18.553     9.191      3.17   -3972.6      27.8    ++
   2.1    -0.406    -1.323     1.384     0.986     5.996     3.390     2.331      1.33   -3785.9     214.5    +-
   2.1    -0.030     3.014     3.014     0.000     0.000    21.825    11.536      3.35   -3968.8      31.6    +-
   2.2     3.464     1.257     3.685     0.995     9.539    10.790     5.984      2.58   -3999.0       1.4    ++
   2.2     0.028     3.003     3.003     0.987     6.264    20.676    10.949      3.29   -3967.9      32.5    +-
   2.2    -0.087    -0.248     0.263     0.970     3.958     2.401    46.835      0.95   -3773.8     226.5    --
   2.2    -0.405    -1.337     1.397     0.961     3.499     3.424     2.349      1.34   -3787.0     213.3    +-
   2.2    -1.931     2.691     3.312     0.000     0.000    17.369     8.580      3.10   -3972.6      27.8    ++
   3.1     3.614     0.994     3.748     0.995    10.204     9.496     5.204      2.44   -4002.6       0.0    ++
   3.1    -0.094    -0.212     0.232     0.990     7.047     0.835     4.843     -0.20   -3775.9     226.7    --
   3.1    -1.860     2.613     3.208     0.984     5.511    20.671    10.147      3.29   -3958.0      44.7    ++
   3.1    -0.496    -1.407     1.492     0.982     5.205     3.770     2.587      1.44   -3793.5     209.2    +-
   3.1    -0.339     2.927     2.946     0.000     0.000    23.374    12.452      3.42   -3955.5      47.1    +-
   3.2     3.633     0.950     3.755     0.995     9.601     9.344     5.113      2.43   -4002.9      -0.3    ++
   3.2    -0.373     2.910     2.934     0.983     5.404    23.427    12.515      3.42   -3953.3      49.4    +-
   3.2    -0.094    -0.206     0.226     0.973     4.189     0.714     3.670     -0.37   -3776.4     226.3    --
   3.2    -0.511    -1.421     1.510     0.968     3.881     3.841     2.637      1.46   -3794.8     207.8    +-
   3.2    -1.870     2.591     3.195     0.000     0.000    20.754    10.167      3.29   -3955.7      46.9    ++
   4.1     3.498     1.319     3.739     0.998    16.484    10.538     5.852      2.56   -4006.8       0.0    ++
   4.1    -0.103    -0.271     0.289     0.997    12.630     2.764    41.063      1.10   -3770.9     235.9    --
   4.1    -0.416    -1.265     1.332     0.995     9.959     3.262     2.267      1.28   -3781.3     225.5    +-
   4.1    -1.511     2.864     3.238     0.988     6.451    30.955    15.584      3.73   -3972.4      34.4    ++
   4.1    -1.511     2.864     3.238     0.988     6.451    30.956    15.584      3.73   -3972.4      34.4    ++
   4.2     3.488     1.332     3.734     0.998    16.051    10.629     5.908      2.57   -4006.4       0.4    ++
   4.2    -0.102    -0.272     0.291     0.993     8.120     1.604     7.198      0.51   -3770.9     235.9    --
   4.2    -0.411    -1.264     1.329     0.990     6.991     3.251     2.259      1.28   -3781.1     225.7    +-
   4.2    -1.539     2.860     3.248     0.000     0.000    29.143    14.661      3.66   -3973.2      33.6    ++
   4.2    -1.539     2.860     3.248     0.000     0.000    29.137    14.659      3.66   -3973.2      33.6    ++
   5.1     3.515     1.305     3.750     0.999    20.093    10.391     5.765      2.54   -4007.9       0.0    ++
   5.1    -0.105    -0.270     0.290     0.998    14.838     2.899    44.085      1.16   -3770.7     237.2    --
   5.1    -0.423    -1.263     1.332     0.996    11.811     3.268     2.273      1.29   -3781.1     226.8    +-
